Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date)
Task,DRUG-49,10049,Build property prediction target identification system,Part of the Drug Discovery initiative. Risk mention short risk line third president.,,,,,Medium,In Progress,,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,LAB-50,10050,Implement barcode scanning quality control checks,Part of the Laboratory Systems initiative. Generation successful structure focus determine see. Look less long thus hundred item catch.,,,,,High,Done,Done,15/Jul/25 12:00 AM,16/Jul/25 12:00 AM,25/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,LAB-51,10051,Create instrument interface results reporting,Part of the Laboratory Systems initiative. Able property through wind result. Strong economy deep her.,,,,,Medium,Done,Done,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,23/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,PAT-52,10052,Implement secure chat survey distribution,Part of the Patient Portal initiative. Item space financial person western involve citizen mission.,,,,,Medium,Done,Done,15/Jul/25 12:00 AM,16/Jul/25 12:00 AM,24/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,PAT-53,10053,Implement appointment booking survey distribution,Part of the Patient Portal initiative. Play collection husband western physical a old score.,,,,,Low,Done,Done,16/Jul/25 12:00 AM,21/Jul/25 12:00 AM,22/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,PAT-54,10054,Implement patient portal medication reminders,Part of the Patient Portal initiative. Our huge possible more theory. Speak carry customer poor growth.,,,,,Medium,To Do,,16/Jul/25 12:00 AM,17/Jul/25 12:00 AM,24/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,PAT-55,10055,Create patient dashboard health record access,Part of the Patient Portal initiative. Improve tax decision million smile mouth art. Space suddenly seat travel response nor song already.,,,,,Low,Done,Done,16/Jul/25 12:00 AM,17/Jul/25 12:00 AM,19/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,LAB-56,10056,Add data management instrument data capture,Part of the Laboratory Systems initiative. Need chance read agree section. Turn human station.,,,,,Highest,Done,Done,16/Jul/25 12:00 AM,24/Jul/25 12:00 AM,25/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,REG-57,10057,Implement submission manager audit trail logging,Part of the Regulatory Compliance initiative. Cover worker future. Yet chair quickly cup bag be.,,,,,Low,Done,Done,17/Jul/25 12:00 AM,19/Jul/25 12:00 AM,28/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,CLIN-58,10058,Optimize patient dashboard reporting dashboard,Part of the Clinical Trials initiative. Career heavy charge pattern country available.,,,,,Low,Done,Done,17/Jul/25 12:00 AM,18/Jul/25 12:00 AM,27/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,REG-59,10059,Update validation protocols submission documentation system,Part of the Regulatory Compliance initiative. Place along general together. Sea federal there line.,,,,,High,Done,Done,17/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,REG-60,10060,Build user authentication access control framework,Part of the Regulatory Compliance initiative. Sport structure talk store.,,,,,Medium,Done,Done,18/Jul/25 12:00 AM,19/Jul/25 12:00 AM,24/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,DRUG-61,10061,Write validation for analysis engine calculations,Part of the Drug Discovery initiative. Finally try court save appear but bag however.,,,,,High,In Progress,,18/Jul/25 12:00 AM,24/Jul/25 12:00 AM,27/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,DRUG-62,10062,Implement hit identification lead optimization workflow,Part of the Drug Discovery initiative. Anyone her bank human see meet. Whose dark here yes.,,,,,Medium,Done,Done,18/Jul/25 12:00 AM,24/Jul/25 12:00 AM,02/Aug/25 12:00 AM,18/Jul/25 12:00 AM
Task,CLIN-63,10063,Refactor data validation trial management interface,Part of the Clinical Trials initiative. Ten Mrs always administration today page end food. Tv a visit half upon child.,,,,,High,In Progress,,18/Jul/25 12:00 AM,19/Jul/25 12:00 AM,25/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,REG-64,10064,Build user authentication access control framework,Part of the Regulatory Compliance initiative. Listen free full bring. Feeling card almost knowledge program glass.,,,,,Medium,Done,Done,19/Jul/25 12:00 AM,20/Jul/25 12:00 AM,25/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,REG-65,10065,Add audit logging regulatory reporting templates,Part of the Regulatory Compliance initiative. Office minute seek past fish.,,,,,Medium,Done,Done,19/Jul/25 12:00 AM,22/Jul/25 12:00 AM,27/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,PAT-66,10066,Build patient dashboard notification system,Part of the Patient Portal initiative. Civil medical truth.,,,,,Medium,Done,Done,19/Jul/25 12:00 AM,21/Jul/25 12:00 AM,31/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,PAT-67,10067,Implement messaging platform medication reminders,Part of the Patient Portal initiative. Meet environment force stock scientist test which what. Color expect top race however make.,,,,,Highest,Done,Done,19/Jul/25 12:00 AM,25/Jul/25 12:00 AM,27/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,DRUG-68,10068,Implement structure search molecular analysis tools,Part of the Drug Discovery initiative. Recent her stop who measure church rich.,,,,,High,Done,Done,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,03/Aug/25 12:00 AM,20/Jul/25 12:00 AM
Task,CLIN-69,10069,Update {library} to meet FDA compliance,Part of the Clinical Trials initiative. Yourself final line investment affect Democrat represent.,,,,,Medium,In Progress,,20/Jul/25 12:00 AM,25/Jul/25 12:00 AM,28/Jul/25 12:00 AM,20/Jul/25 12:00 AM
Task,LAB-70,10070,Optimize workflow engine workflow automation,Part of the Laboratory Systems initiative. Through reduce kid where notice. Father never dream threat current call.,,,,,Low,Done,Done,20/Jul/25 12:00 AM,23/Jul/25 12:00 AM,27/Jul/25 12:00 AM,20/Jul/25 12:00 AM
Task,LAB-71,10071,Build automated workflows inventory management,Part of the Laboratory Systems initiative. Discussion western whose top.,,,,,Highest,Done,Done,21/Jul/25 12:00 AM,04/Aug/25 12:00 AM,06/Aug/25 12:00 AM,21/Jul/25 12:00 AM
Task,LAB-72,10072,Create inventory system results reporting,Part of the Laboratory Systems initiative. Seven rest fine people data necessary. Cup claim behind.,,,,,Medium,To Do,,21/Jul/25 12:00 AM,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,21/Jul/25 12:00 AM
Task,DRUG-73,10073,Implement structure search molecular analysis tools,Part of the Drug Discovery initiative. Democratic threat hard great alone him. Certainly wear red type show present.,,,,,Highest,Done,Done,21/Jul/25 12:00 AM,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,21/Jul/25 12:00 AM
Task,REG-74,10074,Implement compliance portal document version control,Part of the Regulatory Compliance initiative. Remain week large state. Arm attention young.,,,,,High,To Do,,21/Jul/25 12:00 AM,22/Jul/25 12:00 AM,01/Aug/25 12:00 AM,21/Jul/25 12:00 AM
Task,PAT-75,10075,Add messaging platform mobile app integration,Part of the Patient Portal initiative. Chance military prepare radio edge. Each race next girl shoulder democratic.,,,,,Medium,In Progress,,22/Jul/25 12:00 AM,08/Aug/25 12:00 AM,12/Aug/25 12:00 AM,22/Jul/25 12:00 AM
Task,DRUG-76,10076,Build hit identification target identification system,Part of the Drug Discovery initiative. Ahead upon activity loss fall others.,,,,,Low,Done,Done,22/Jul/25 12:00 AM,23/Jul/25 12:00 AM,29/Jul/25 12:00 AM,22/Jul/25 12:00 AM
Task,DRUG-77,10077,Add lead optimization bioactivity prediction models,Part of the Drug Discovery initiative. Begin go world indicate.,,,,,Medium,Done,Done,22/Jul/25 12:00 AM,25/Jul/25 12:00 AM,31/Jul/25 12:00 AM,22/Jul/25 12:00 AM
Task,PAT-78,10078,Implement notification service medication reminders,Part of the Patient Portal initiative. From consider very office. Security run it assume know after night.,,,,,Highest,Done,Done,22/Jul/25 12:00 AM,26/Jul/25 12:00 AM,29/Jul/25 12:00 AM,22/Jul/25 12:00 AM
Task,PAT-79,10079,Add health records secure messaging system,Part of the Patient Portal initiative. Moment respond close husband police total.,,,,,Low,Done,Done,23/Jul/25 12:00 AM,25/Jul/25 12:00 AM,27/Jul/25 12:00 AM,23/Jul/25 12:00 AM
Task,REG-80,10080,Add user authentication validation controls,Part of the Regulatory Compliance initiative. Experience sign deep action camera those. Summer yeah design would a song manage serve.,,,,,Medium,Done,Done,23/Jul/25 12:00 AM,28/Jul/25 12:00 AM,29/Jul/25 12:00 AM,23/Jul/25 12:00 AM
Task,REG-81,10081,Update validation protocols submission documentation system,Part of the Regulatory Compliance initiative. Break member partner away attack most.,,,,,Medium,Done,Done,23/Jul/25 12:00 AM,27/Jul/25 12:00 AM,05/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,CLIN-82,10082,Implement enrollment portal adverse event tracking,Part of the Clinical Trials initiative. Security be appear change through power movie.,,,,,Medium,Done,Done,23/Jul/25 12:00 AM,24/Jul/25 12:00 AM,07/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,LAB-83,10083,Implement barcode scanning quality control checks,Part of the Laboratory Systems initiative. Hand reach avoid positive successful represent operation condition. Who table drug fish dinner sometimes ever movement.,,,,,Medium,Done,Done,24/Jul/25 12:00 AM,27/Jul/25 12:00 AM,05/Aug/25 12:00 AM,24/Jul/25 12:00 AM
Task,LAB-84,10084,Add data management instrument data capture,Part of the Laboratory Systems initiative. Cultural leg hundred long be. Bad not process foreign green person market.,,,,,Low,Done,Done,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,31/Jul/25 12:00 AM,24/Jul/25 12:00 AM
Task,DRUG-85,10085,Build structure search target identification system,Part of the Drug Discovery initiative. Tough buy somebody. Imagine garden treat top mention gun.,,,,,Low,Done,Done,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,31/Jul/25 12:00 AM,24/Jul/25 12:00 AM
Task,REG-86,10086,Add audit logging regulatory reporting templates,Part of the Regulatory Compliance initiative. Focus need poor hit spend. Gas meeting what and record resource pull.,,,,,High,Done,Done,24/Jul/25 12:00 AM,30/Jul/25 12:00 AM,09/Aug/25 12:00 AM,24/Jul/25 12:00 AM
Task,REG-87,10087,Add electronic signatures regulatory reporting templates,Part of the Regulatory Compliance initiative. Yeah former anyone defense church. Trip century stay when third according heavy.,,,,,Medium,Done,Done,25/Jul/25 12:00 AM,29/Jul/25 12:00 AM,30/Jul/25 12:00 AM,25/Jul/25 12:00 AM
Task,REG-88,10088,Update document management submission documentation system,Part of the Regulatory Compliance initiative. Best particularly policy.,,,,,High,Done,Done,25/Jul/25 12:00 AM,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,25/Jul/25 12:00 AM
Task,CLIN-89,10089,Update patient enrollment patient data collection system,Part of the Clinical Trials initiative. Mrs child operation staff subject black.,,,,,Low,Done,Done,25/Jul/25 12:00 AM,29/Jul/25 12:00 AM,03/Aug/25 12:00 AM,25/Jul/25 12:00 AM
Task,REG-90,10090,Create electronic signatures validation documentation,Part of the Regulatory Compliance initiative. Couple two already skill.,,,,,High,Done,Done,26/Jul/25 12:00 AM,01/Aug/25 12:00 AM,02/Aug/25 12:00 AM,26/Jul/25 12:00 AM
Task,LAB-91,10091,Optimize sample tracking workflow automation,Part of the Laboratory Systems initiative. Career same arm in total.,,,,,Highest,Done,Done,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,29/Jul/25 12:00 AM,26/Jul/25 12:00 AM
Task,DRUG-92,10092,Add structure search bioactivity prediction models,Part of the Drug Discovery initiative. Fire short measure exist movement public increase.,,,,,Medium,Done,Done,26/Jul/25 12:00 AM,04/Aug/25 12:00 AM,05/Aug/25 12:00 AM,26/Jul/25 12:00 AM
Task,PAT-93,10093,Add content management mobile app integration,Part of the Patient Portal initiative. Impact age four peace above lay make section. Region my happy final car talk station.,,,,,Low,Done,Done,27/Jul/25 12:00 AM,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,27/Jul/25 12:00 AM
Task,LAB-94,10094,Create instrument interface results reporting,Part of the Laboratory Systems initiative. Mean source amount field teacher watch still.,,,,,Medium,Done,Done,27/Jul/25 12:00 AM,04/Aug/25 12:00 AM,14/Aug/25 12:00 AM,27/Jul/25 12:00 AM
Task,LAB-95,10095,Create inventory system results reporting,Part of the Laboratory Systems initiative. Really how camera rest.,,,,,Medium,Done,Done,27/Jul/25 12:00 AM,31/Jul/25 12:00 AM,09/Aug/25 12:00 AM,27/Jul/25 12:00 AM
Task,PAT-96,10096,Add notification service mobile app integration,Part of the Patient Portal initiative. Stop language page across point dinner live. Wide produce choose go.,,,,,Highest,Done,Done,28/Jul/25 12:00 AM,01/Aug/25 12:00 AM,03/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,LAB-97,10097,Enhance results database data visualization,Part of the Laboratory Systems initiative. Follow unit administration do. Again theory which keep.,,,,,High,Done,Done,28/Jul/25 12:00 AM,30/Jul/25 12:00 AM,01/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,DRUG-98,10098,Build computational chemistry assay data pipeline,Part of the Drug Discovery initiative. Challenge technology catch perhaps exactly these part.,,,,,Low,Done,Done,28/Jul/25 12:00 AM,31/Jul/25 12:00 AM,05/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,DRUG-99,10099,Add computational chemistry ADME prediction tools,Part of the Drug Discovery initiative. Rate scientist old available.,,,,,Medium,Done,Done,28/Jul/25 12:00 AM,09/Aug/25 12:00 AM,11/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,REG-100,10100,Add audit trails validation controls,Part of the Regulatory Compliance initiative. Movement east toward eat truth meeting. Prepare door buy senior life individual.,,,,,Medium,Done,Done,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,05/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,LAB-101,10101,Enhance inventory system data visualization,Part of the Laboratory Systems initiative. Pick show parent in detail tree. Few magazine evening game pay understand south behind.,,,,,Medium,In Progress,,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,07/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,REG-102,10102,Update electronic signatures submission documentation system,Part of the Regulatory Compliance initiative. Key play senior speak level through keep defense.,,,,,High,Done,Done,29/Jul/25 12:00 AM,03/Aug/25 12:00 AM,04/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,DRUG-103,10103,Implement analytics service high-throughput screening,Part of the Drug Discovery initiative. Foot note find senior car lay responsibility. Nation subject certain million.,,,,,Medium,Done,Done,29/Jul/25 12:00 AM,31/Jul/25 12:00 AM,08/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,DRUG-104,10104,Build structure search target identification system,Part of the Drug Discovery initiative. Open worker assume boy air.,,,,,Low,In Progress,,30/Jul/25 12:00 AM,06/Aug/25 12:00 AM,11/Aug/25 12:00 AM,30/Jul/25 12:00 AM
