Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date),Created_dt,Due_date_dt,Start_date_dt,Updated_dt,Duration_days,Hours_per_ticket,Cost_per_ticket,Period,Week_Period,Week_Start
Task,FT-11,10360,Add queue processor rate limiting and throttling,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Piece under billion rather citizen everybody former.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,04/Jul/25 12:00 AM,07/Jul/25 12:00 AM,08/Jul/25 12:00 AM,04/Jul/25 12:00 AM,2025-07-04,2025-07-08,2025-07-04,2025-07-07,4,32,1600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-10,10298,Implement caching layer for data pipeline,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Fight investment bank. See effect book these happen theory decision.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,04/Jul/25 12:00 AM,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,04/Jul/25 12:00 AM,2025-07-04,2025-07-11,2025-07-04,2025-07-07,7,56,2800.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-16,10300,Add identity provider security hardening,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Radio tonight amount kitchen yard wrong political join.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,05/Jul/25 12:00 AM,06/Jul/25 12:00 AM,13/Jul/25 12:00 AM,05/Jul/25 12:00 AM,2025-07-05,2025-07-13,2025-07-05,2025-07-06,8,64,3200.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-15,10509,Build rate limiting incident response system,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Citizen medical example hold government avoid.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,05/Jul/25 12:00 AM,16/Jul/25 12:00 AM,23/Jul/25 12:00 AM,05/Jul/25 12:00 AM,2025-07-05,2025-07-23,2025-07-05,2025-07-16,18,144,7200.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-14,10299,Enable multi-factor auth for user login,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Wish force tend grow edge. Beautiful process rule early feel.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,05/Jul/25 12:00 AM,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,05/Jul/25 12:00 AM,2025-07-05,2025-07-09,2025-07-05,2025-07-08,4,32,1600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-13,10634,Add analytics tracker webhook integration,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Grow option explain despite recently laugh. Stay wife respond individual likely future opportunity.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,Done,Done,05/Jul/25 12:00 AM,09/Jul/25 12:00 AM,14/Jul/25 12:00 AM,05/Jul/25 12:00 AM,2025-07-05,2025-07-14,2025-07-05,2025-07-09,9,72,3600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-19,10636,Add queue processor retry and fallback mechanism,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Smile any identify. Task clear feeling maintain that.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,06/Jul/25 12:00 AM,12/Jul/25 12:00 AM,15/Jul/25 12:00 AM,06/Jul/25 12:00 AM,2025-07-06,2025-07-15,2025-07-06,2025-07-12,9,72,3600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-18,10635,Implement market data integration third-party data integration,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Risk best inside senior each. Little case structure hot.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,06/Jul/25 12:00 AM,11/Jul/25 12:00 AM,14/Jul/25 12:00 AM,06/Jul/25 12:00 AM,2025-07-06,2025-07-14,2025-07-06,2025-07-11,8,64,3200.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-17,10361,Implement caching layer for payment gateway,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Machine late baby media.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,06/Jul/25 12:00 AM,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,06/Jul/25 12:00 AM,2025-07-06,2025-07-11,2025-07-06,2025-07-09,5,40,2000.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-22,10638,Optimize price aggregator for high throughput,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Interesting can also house pattern poor law. Nice above hard and budget indicate.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,07/Jul/25 12:00 AM,13/Jul/25 12:00 AM,16/Jul/25 12:00 AM,07/Jul/25 12:00 AM,2025-07-07,2025-07-16,2025-07-07,2025-07-13,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-21,10637,Enable biometric login for API authentication,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Treat hard off ask.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,Done,Done,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,17/Jul/25 12:00 AM,07/Jul/25 12:00 AM,2025-07-07,2025-07-17,2025-07-07,2025-07-11,10,80,4000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-20,10510,Implement biometric login authentication flow,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Should response decide or tend similar.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,07/Jul/25 12:00 AM,09/Jul/25 12:00 AM,16/Jul/25 12:00 AM,07/Jul/25 12:00 AM,2025-07-07,2025-07-16,2025-07-07,2025-07-09,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-25,10639,Implement rate limiting protection measures,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Along company health card daughter actually.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,08/Jul/25 12:00 AM,2025-07-08,2025-07-15,2025-07-08,2025-07-09,7,56,2800.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-24,10362,Build user preferences unsubscribe and preference flow,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Stand worry do explain war their. Deal sport family draw.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,13/Jul/25 12:00 AM,08/Jul/25 12:00 AM,2025-07-08,2025-07-13,2025-07-08,2025-07-09,5,40,2000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-23,10511,Update {library} dependency to latest version,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Far time fast country director some. Various step effort life people town.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,08/Jul/25 12:00 AM,2025-07-08,2025-07-15,2025-07-08,2025-07-09,7,56,2800.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-28,10302,Add queue processor retry and fallback mechanism,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Stop another through out Mr then. Often hold church general capital garden.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,09/Jul/25 12:00 AM,10/Jul/25 12:00 AM,18/Jul/25 12:00 AM,09/Jul/25 12:00 AM,2025-07-09,2025-07-18,2025-07-09,2025-07-10,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-27,10640,Implement market orders error handling and retry logic,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Deep course month sometimes. Memory scientist rest skin loss play produce piece.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,09/Jul/25 12:00 AM,2025-07-09,2025-07-12,2025-07-09,2025-07-11,3,24,1200.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-26,10301,Add comprehensive tests for session handler,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Result how from investment project tough.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,In Progress,,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,09/Jul/25 12:00 AM,2025-07-09,2025-07-17,2025-07-09,2025-07-15,8,64,3200.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-32,10641,Build tokenized assets data visualization dashboard,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Chance claim whose language issue exist.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,10/Jul/25 12:00 AM,17/Jul/25 12:00 AM,21/Jul/25 12:00 AM,10/Jul/25 12:00 AM,2025-07-10,2025-07-21,2025-07-10,2025-07-17,11,88,4400.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-31,10363,Write integration tests for risk calculator,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Morning figure pretty daughter simply thus. Word everybody week coach any past.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,10/Jul/25 12:00 AM,18/Jul/25 12:00 AM,31/Jul/25 12:00 AM,10/Jul/25 12:00 AM,2025-07-10,2025-07-31,2025-07-10,2025-07-18,21,168,8400.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-30,10304,Migrate payment gateway to microservices architecture,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Own fire crime live movement. Third stock thank rate community money.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,10/Jul/25 12:00 AM,12/Jul/25 12:00 AM,15/Jul/25 12:00 AM,10/Jul/25 12:00 AM,2025-07-10,2025-07-15,2025-07-10,2025-07-12,5,40,2000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-29,10303,Implement key management comprehensive audit logging,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Threat environmental apply poor per break southern score.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,10/Jul/25 12:00 AM,14/Jul/25 12:00 AM,16/Jul/25 12:00 AM,10/Jul/25 12:00 AM,2025-07-10,2025-07-16,2025-07-10,2025-07-14,6,48,2400.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-36,10513,Build position tracking API endpoint with validation,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Land eat personal third. Throughout guy from discussion.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,In Progress,,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,14/Jul/25 12:00 AM,11/Jul/25 12:00 AM,2025-07-11,2025-07-14,2025-07-11,2025-07-12,3,24,1200.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-35,10512,Implement tokenized assets comparison and analysis tools,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Sport receive likely affect lawyer pick.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,11/Jul/25 12:00 AM,13/Jul/25 12:00 AM,20/Jul/25 12:00 AM,11/Jul/25 12:00 AM,2025-07-11,2025-07-20,2025-07-11,2025-07-13,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-34,10365,Build batch notifications unsubscribe and preference flow,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Threat degree theory economic do clear. Girl performance fill oil head woman.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,In Progress,,11/Jul/25 12:00 AM,18/Jul/25 12:00 AM,20/Jul/25 12:00 AM,11/Jul/25 12:00 AM,2025-07-11,2025-07-20,2025-07-11,2025-07-18,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-33,10364,Add investment engine regulatory compliance checks,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Rich live act else it well large. Give week commercial chance.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,11/Jul/25 12:00 AM,14/Jul/25 12:00 AM,18/Jul/25 12:00 AM,11/Jul/25 12:00 AM,2025-07-11,2025-07-18,2025-07-11,2025-07-14,7,56,2800.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-39,10642,Design asset listing page layout and UX,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Six between white education difficult statement debate. Option process decision exactly foot blood past perform.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,In Progress,,12/Jul/25 12:00 AM,18/Jul/25 12:00 AM,21/Jul/25 12:00 AM,12/Jul/25 12:00 AM,2025-07-12,2025-07-21,2025-07-12,2025-07-18,9,72,3600.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-38,10515,Add analytics tracker retry and fallback mechanism,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Song final above evening risk offer loss.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,In Progress,,12/Jul/25 12:00 AM,23/Jul/25 12:00 AM,27/Jul/25 12:00 AM,12/Jul/25 12:00 AM,2025-07-12,2025-07-27,2025-07-12,2025-07-23,15,120,6000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-37,10514,Add investment engine performance metrics tracking,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Learn material to rate property night determine.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,In Progress,,12/Jul/25 12:00 AM,14/Jul/25 12:00 AM,29/Jul/25 12:00 AM,12/Jul/25 12:00 AM,2025-07-12,2025-07-29,2025-07-12,2025-07-14,17,136,6800.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-42,10306,Implement execution service WebSocket real-time updates,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Talk newspaper spend guy hold believe decision. Compare bar practice smile because.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,13/Jul/25 12:00 AM,22/Jul/25 12:00 AM,23/Jul/25 12:00 AM,13/Jul/25 12:00 AM,2025-07-13,2025-07-23,2025-07-13,2025-07-22,10,80,4000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-41,10305,Implement order matching error handling and retry logic,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Son skin myself provide friend.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,Done,Done,13/Jul/25 12:00 AM,19/Jul/25 12:00 AM,30/Jul/25 12:00 AM,13/Jul/25 12:00 AM,2025-07-13,2025-07-30,2025-07-13,2025-07-19,17,136,6800.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-40,10643,Add rate limiting detection and monitoring,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Soldier then few single.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,13/Jul/25 12:00 AM,26/Jul/25 12:00 AM,28/Jul/25 12:00 AM,13/Jul/25 12:00 AM,2025-07-13,2025-07-28,2025-07-13,2025-07-26,15,120,6000.0,Pre-Claude,2025-07-07/2025-07-13,2025-07-07
Task,FT-45,10645,Add preference manager webhook integration,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Trouble fall during. Institution study agency attack possible his.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,22/Jul/25 12:00 AM,14/Jul/25 12:00 AM,2025-07-14,2025-07-22,2025-07-14,2025-07-15,8,64,3200.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
Task,FT-44,10307,Add private equity advanced filtering and search,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Smile mission growth however finish network view how. Business share skill trial safe.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,21/Jul/25 12:00 AM,14/Jul/25 12:00 AM,2025-07-14,2025-07-21,2025-07-14,2025-07-15,7,56,2800.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
Task,FT-43,10644,Add analytics tracker webhook integration,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Off nearly big morning husband miss movement. Explain produce election agreement audience.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,14/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,14/Jul/25 12:00 AM,2025-07-14,2025-07-24,2025-07-14,2025-07-20,10,80,4000.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
Task,FT-49,10366,Add portfolio management performance metrics tracking,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Them week attack blood from.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,15/Jul/25 12:00 AM,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,15/Jul/25 12:00 AM,2025-07-15,2025-07-27,2025-07-15,2025-07-26,12,96,4800.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
Task,FT-48,10646,Enhance notification system analytics and reporting,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Weight eat against right through lose space well.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,20/Jul/25 12:00 AM,15/Jul/25 12:00 AM,2025-07-15,2025-07-20,2025-07-15,2025-07-17,5,40,2000.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
Task,FT-47,10517,Optimize delivery optimizer message queue processing,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Design day wife suggest home gun street.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,15/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,15/Jul/25 12:00 AM,2025-07-15,2025-07-24,2025-07-15,2025-07-20,9,72,3600.0,Pre-Claude,2025-07-14/2025-07-20,2025-07-14
