Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date)
Task,ALT-32,10032,Build tokenized assets data visualization dashboard,Part of the Alt Assets initiative. Chance claim whose language issue exist.,,,,,Medium,Done,Done,10/Jul/25 12:00 AM,17/Jul/25 12:00 AM,21/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,ALT-33,10033,Add investment engine regulatory compliance checks,Part of the Alt Assets initiative. Rich live act else it well large. Give week commercial chance.,,,,,High,Done,Done,11/Jul/25 12:00 AM,14/Jul/25 12:00 AM,18/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,COMM-34,10034,Build batch notifications unsubscribe and preference flow,Part of the Comms Platform initiative. Threat degree theory economic do clear. Girl performance fill oil head woman.,,,,,Medium,In Progress,,11/Jul/25 12:00 AM,18/Jul/25 12:00 AM,20/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,ALT-35,10035,Implement tokenized assets comparison and analysis tools,Part of the Alt Assets initiative. Sport receive likely affect lawyer pick.,,,,,Low,Done,Done,11/Jul/25 12:00 AM,13/Jul/25 12:00 AM,20/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,TRADE-36,10036,Build position tracking API endpoint with validation,Part of the Trading Feature initiative. Land eat personal third. Throughout guy from discussion.,,,,,Medium,In Progress,,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,14/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,ALT-37,10037,Add investment engine performance metrics tracking,Part of the Alt Assets initiative. Learn material to rate property night determine.,,,,,High,In Progress,,12/Jul/25 12:00 AM,14/Jul/25 12:00 AM,29/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,COMM-38,10038,Add analytics tracker retry and fallback mechanism,Part of the Comms Platform initiative. Song final above evening risk offer loss.,,,,,Low,In Progress,,12/Jul/25 12:00 AM,23/Jul/25 12:00 AM,27/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,ALT-39,10039,Design asset listing page layout and UX,Part of the Alt Assets initiative. Six between white education difficult statement debate. Option process decision exactly foot blood past perform.,,,,,Highest,In Progress,,12/Jul/25 12:00 AM,18/Jul/25 12:00 AM,21/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,AUTH-40,10040,Add rate limiting detection and monitoring,Part of the Auth Security initiative. Soldier then few single.,,,,,High,Done,Done,13/Jul/25 12:00 AM,26/Jul/25 12:00 AM,28/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,TRADE-41,10041,Implement order matching error handling and retry logic,Part of the Trading Feature initiative. Son skin myself provide friend.,,,,,Highest,Done,Done,13/Jul/25 12:00 AM,19/Jul/25 12:00 AM,30/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,TRADE-42,10042,Implement execution service WebSocket real-time updates,Part of the Trading Feature initiative. Talk newspaper spend guy hold believe decision. Compare bar practice smile because.,,,,,Low,Done,Done,13/Jul/25 12:00 AM,22/Jul/25 12:00 AM,23/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,COMM-43,10043,Add analytics tracker webhook integration,Part of the Comms Platform initiative. Off nearly big morning husband miss movement. Explain produce election agreement audience.,,,,,Medium,Done,Done,14/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,ALT-44,10044,Add private equity advanced filtering and search,Part of the Alt Assets initiative. Smile mission growth however finish network view how. Business share skill trial safe.,,,,,Medium,Done,Done,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,21/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,COMM-45,10045,Add preference manager webhook integration,Part of the Comms Platform initiative. Trouble fall during. Institution study agency attack possible his.,,,,,High,Done,Done,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,22/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,LEG-46,10046,Add comprehensive tests for REST API,Part of the Legacy Platform initiative. Story cell suffer term mind ask perhaps. Action option machine away piece leg health future.,,,,,Medium,To Do,,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,25/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,COMM-47,10047,Optimize delivery optimizer message queue processing,Part of the Comms Platform initiative. Design day wife suggest home gun street.,,,,,Low,Done,Done,15/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,COMM-48,10048,Enhance notification system analytics and reporting,Part of the Comms Platform initiative. Weight eat against right through lose space well.,,,,,Low,Done,Done,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,20/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,ALT-49,10049,Add portfolio management performance metrics tracking,Part of the Alt Assets initiative. Them week attack blood from.,,,,,High,Done,Done,15/Jul/25 12:00 AM,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,15/Jul/25 12:00 AM
Task,LEG-50,10050,Remove technical debt in payment flow implementation,Part of the Legacy Platform initiative. Staff direction officer without court indeed music national. Former ever human war.,,,,,Medium,Done,Done,16/Jul/25 12:00 AM,26/Jul/25 12:00 AM,30/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,LEG-51,10051,Add comprehensive tests for database layer,Part of the Legacy Platform initiative. Thousand entire memory true again under before.,,,,,Medium,Done,Done,16/Jul/25 12:00 AM,17/Jul/25 12:00 AM,19/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,ALT-52,10052,Build private equity data visualization dashboard,Part of the Alt Assets initiative. Professor into wear manager store measure. Wear ball four magazine girl compare finish someone.,,,,,Low,Done,Done,16/Jul/25 12:00 AM,24/Jul/25 12:00 AM,25/Jul/25 12:00 AM,16/Jul/25 12:00 AM
Task,TRADE-53,10053,Build limit orders order execution engine,Part of the Trading Feature initiative. Girl treat yes interview.,,,,,Low,Done,Done,17/Jul/25 12:00 AM,19/Jul/25 12:00 AM,24/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,ALT-54,10054,Create real estate funds investment workflow,Part of the Alt Assets initiative. Play could film win worry natural speak year. Visit growth way all discussion student.,,,,,Medium,Done,Done,17/Jul/25 12:00 AM,23/Jul/25 12:00 AM,29/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,LEG-55,10055,Fix memory leak in notification service service,Part of the Legacy Platform initiative. Establish our budget season.,,,,,High,Done,Done,17/Jul/25 12:00 AM,22/Jul/25 12:00 AM,31/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,ALT-56,10056,Add private equity advanced filtering and search,Part of the Alt Assets initiative. Teacher necessary itself language pattern clear bed.,,,,,Low,Done,Done,17/Jul/25 12:00 AM,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,17/Jul/25 12:00 AM
Task,LEG-57,10057,Upgrade transaction history to support new requirements,Part of the Legacy Platform initiative. Heavy onto rise few lose rock.,,,,,Medium,Done,Done,18/Jul/25 12:00 AM,23/Jul/25 12:00 AM,24/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,AUTH-58,10058,Add passwordless auth session management,Part of the Auth Security initiative. Social throw various gas trouble question. Stand than western.,,,,,Medium,Done,Done,18/Jul/25 12:00 AM,22/Jul/25 12:00 AM,29/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,COMM-59,10059,Enhance webhook notification delivery reliability,Part of the Comms Platform initiative. Night anyone citizen piece sea rise page. Compare court list school wear wide.,,,,,High,Done,Done,18/Jul/25 12:00 AM,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,18/Jul/25 12:00 AM
Task,COMM-60,10060,Build priority routing user preference center,Part of the Comms Platform initiative. Need color deep.,,,,,High,In Progress,,19/Jul/25 12:00 AM,26/Jul/25 12:00 AM,01/Aug/25 12:00 AM,19/Jul/25 12:00 AM
Task,COMM-61,10061,Add analytics tracker rate limiting and throttling,Part of the Comms Platform initiative. Window eye say treatment maybe own. Still father those talk.,,,,,Low,Done,Done,19/Jul/25 12:00 AM,26/Jul/25 12:00 AM,29/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,ALT-62,10062,Implement private equity comparison and analysis tools,Part of the Alt Assets initiative. Blood four TV hope need.,,,,,Medium,Done,Done,19/Jul/25 12:00 AM,21/Jul/25 12:00 AM,27/Jul/25 12:00 AM,19/Jul/25 12:00 AM
Task,COMM-63,10063,Enhance email notification delivery reliability,Part of the Comms Platform initiative. Watch television control whom. Inside value film hotel Mr.,,,,,Medium,Done,Done,20/Jul/25 12:00 AM,23/Jul/25 12:00 AM,01/Aug/25 12:00 AM,20/Jul/25 12:00 AM
Task,ALT-64,10064,Implement private equity portfolio allocation tools,Part of the Alt Assets initiative. At conference challenge itself upon.,,,,,High,In Progress,,20/Jul/25 12:00 AM,28/Jul/25 12:00 AM,03/Aug/25 12:00 AM,20/Jul/25 12:00 AM
Task,COMM-65,10065,Implement smart delivery A/B testing framework,Part of the Comms Platform initiative. Environmental continue fund citizen source carry. Toward road during myself need air item.,,,,,Highest,Done,Done,20/Jul/25 12:00 AM,23/Jul/25 12:00 AM,25/Jul/25 12:00 AM,20/Jul/25 12:00 AM
Task,COMM-66,10066,Add delivery service webhook integration,Part of the Comms Platform initiative. Forward hundred cold someone consumer skin foot.,,,,,High,Done,Done,20/Jul/25 12:00 AM,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,20/Jul/25 12:00 AM
Task,LEG-67,10067,Remove technical debt in user onboarding implementation,Part of the Legacy Platform initiative. Level thing market skill oil because first. History west record itself operation fish gun.,,,,,Medium,To Do,,21/Jul/25 12:00 AM,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,21/Jul/25 12:00 AM
Task,COMM-68,10068,Enhance notification system analytics and reporting,Part of the Comms Platform initiative. Stock part population fill drop.,,,,,Medium,Done,Done,21/Jul/25 12:00 AM,30/Jul/25 12:00 AM,31/Jul/25 12:00 AM,21/Jul/25 12:00 AM
Task,ALT-69,10069,Design analytics dashboard page layout and UX,Part of the Alt Assets initiative. Section black example would notice. Candidate everyone inside account special central note pull.,,,,,Medium,Done,Done,21/Jul/25 12:00 AM,28/Jul/25 12:00 AM,07/Aug/25 12:00 AM,21/Jul/25 12:00 AM
Task,AUTH-70,10070,Implement session timeout authentication flow,Part of the Auth Security initiative. More series whose.,,,,,Low,Done,Done,22/Jul/25 12:00 AM,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,22/Jul/25 12:00 AM
Task,AUTH-71,10071,Implement token service comprehensive audit logging,Part of the Auth Security initiative. Lawyer onto resource help perform order near.,,,,,Medium,In Progress,,22/Jul/25 12:00 AM,26/Jul/25 12:00 AM,29/Jul/25 12:00 AM,22/Jul/25 12:00 AM
Task,LEG-72,10072,Remove technical debt in data validation implementation,Part of the Legacy Platform initiative. Especially prevent mission generation state arrive necessary.,,,,,Medium,Done,Done,22/Jul/25 12:00 AM,26/Jul/25 12:00 AM,29/Jul/25 12:00 AM,22/Jul/25 12:00 AM
Task,AUTH-73,10073,Add XSS prevention detection and monitoring,Part of the Auth Security initiative. Mother how late or difference dinner determine.,,,,,Medium,Done,Done,23/Jul/25 12:00 AM,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,AUTH-74,10074,Implement session timeout password security policy,Part of the Auth Security initiative. Discuss hit certain herself father lose. Brother college figure result whatever determine spend.,,,,,Medium,Done,Done,23/Jul/25 12:00 AM,29/Jul/25 12:00 AM,01/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,TRADE-75,10075,Optimize market data feed for high throughput,Part of the Trading Feature initiative. Early as present from.,,,,,Medium,In Progress,,23/Jul/25 12:00 AM,27/Jul/25 12:00 AM,08/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,LEG-76,10076,Refactor account service to use async/await pattern,Part of the Legacy Platform initiative. Plan ever they play condition.,,,,,High,Done,Done,23/Jul/25 12:00 AM,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,23/Jul/25 12:00 AM
Task,COMM-77,10077,Add delivery service retry and fallback mechanism,Part of the Comms Platform initiative. Across career detail very tough couple.,,,,,High,Done,Done,24/Jul/25 12:00 AM,28/Jul/25 12:00 AM,02/Aug/25 12:00 AM,24/Jul/25 12:00 AM
Task,AUTH-78,10078,Enable OAuth 2.0 for API authentication,Part of the Auth Security initiative. Blue vote again fly character nothing worker.,,,,,Low,Done,Done,24/Jul/25 12:00 AM,27/Jul/25 12:00 AM,02/Aug/25 12:00 AM,24/Jul/25 12:00 AM
Task,ALT-79,10079,Create asset listing responsive UI,Part of the Alt Assets initiative. Building west wish hope economic improve. Identify picture word happen example international skin.,,,,,High,Done,Done,24/Jul/25 12:00 AM,25/Jul/25 12:00 AM,04/Aug/25 12:00 AM,24/Jul/25 12:00 AM
Task,TRADE-80,10080,Write integration tests for trade execution,Part of the Trading Feature initiative. Kid amount sign push discuss. On Congress for institution she phone.,,,,,Medium,Done,Done,25/Jul/25 12:00 AM,30/Jul/25 12:00 AM,08/Aug/25 12:00 AM,25/Jul/25 12:00 AM
Task,COMM-81,10081,Enhance SMS notification delivery reliability,Part of the Comms Platform initiative. Rest lose remember hot long common with.,,,,,Medium,To Do,,25/Jul/25 12:00 AM,29/Jul/25 12:00 AM,01/Aug/25 12:00 AM,25/Jul/25 12:00 AM
Task,COMM-82,10082,Enhance notification system analytics and reporting,Part of the Comms Platform initiative. First assume region left off stand pull.,,,,,High,In Progress,,25/Jul/25 12:00 AM,26/Jul/25 12:00 AM,07/Aug/25 12:00 AM,25/Jul/25 12:00 AM
Task,AUTH-83,10083,Add OAuth 2.0 compliance controls,Part of the Auth Security initiative. Official should together over.,,,,,Medium,Done,Done,25/Jul/25 12:00 AM,29/Jul/25 12:00 AM,31/Jul/25 12:00 AM,25/Jul/25 12:00 AM
Task,TRADE-84,10084,Create trade execution React UI component,Part of the Trading Feature initiative. Traditional think law. Interest rate simply population fish.,,,,,Low,Done,Done,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,30/Jul/25 12:00 AM,26/Jul/25 12:00 AM
Task,AUTH-85,10085,Build identity provider token validation service,Part of the Auth Security initiative. Late attention particular chance relate lot industry. Miss you central question run say piece which.,,,,,High,Done,Done,26/Jul/25 12:00 AM,27/Jul/25 12:00 AM,02/Aug/25 12:00 AM,26/Jul/25 12:00 AM
Task,LEG-86,10086,Fix memory leak in authentication service,Part of the Legacy Platform initiative. Idea reflect building my reflect friend before parent. Thank have commercial.,,,,,Medium,Done,Done,26/Jul/25 12:00 AM,02/Aug/25 12:00 AM,12/Aug/25 12:00 AM,26/Jul/25 12:00 AM
Task,AUTH-87,10087,Build key management token validation service,Part of the Auth Security initiative. Real far fund hospital happy hair.,,,,,High,Done,Done,26/Jul/25 12:00 AM,02/Aug/25 12:00 AM,05/Aug/25 12:00 AM,26/Jul/25 12:00 AM
Task,AUTH-88,10088,Add key management security hardening,Part of the Auth Security initiative. Front appear enough role. Participant international address be.,,,,,High,Done,Done,27/Jul/25 12:00 AM,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,27/Jul/25 12:00 AM
Task,TRADE-89,10089,Build trade confirmation order execution engine,Part of the Trading Feature initiative. Card check continue community card. School you guy tree color ago security.,,,,,High,To Do,,27/Jul/25 12:00 AM,01/Aug/25 12:00 AM,09/Aug/25 12:00 AM,27/Jul/25 12:00 AM
Task,ALT-90,10090,Implement investment engine third-party data integration,Part of the Alt Assets initiative. Certain glass hair over goal task.,,,,,High,Done,Done,27/Jul/25 12:00 AM,30/Jul/25 12:00 AM,31/Jul/25 12:00 AM,27/Jul/25 12:00 AM
Task,LEG-91,10091,Fix memory leak in validation middleware service,Part of the Legacy Platform initiative. Little security whose money citizen property six.,,,,,High,Done,Done,28/Jul/25 12:00 AM,02/Aug/25 12:00 AM,04/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,ALT-92,10092,Implement private equity comparison and analysis tools,Part of the Alt Assets initiative. Direction ahead staff half cold factor. Admit listen pretty anything.,,,,,Low,To Do,,28/Jul/25 12:00 AM,01/Aug/25 12:00 AM,02/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,TRADE-93,10093,Add settlement performance monitoring and alerts,Part of the Trading Feature initiative. Customer common way than.,,,,,Low,Done,Done,28/Jul/25 12:00 AM,29/Jul/25 12:00 AM,03/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,COMM-94,10094,Implement priority routing delivery tracking and analytics,Part of the Comms Platform initiative. Detail international nor only. Certain day stock.,,,,,Medium,Done,Done,28/Jul/25 12:00 AM,29/Jul/25 12:00 AM,03/Aug/25 12:00 AM,28/Jul/25 12:00 AM
Task,COMM-95,10095,Add queue processor webhook integration,Part of the Comms Platform initiative. End through painting live throw spend. Save where office structure cultural chair deep change.,,,,,High,Done,Done,29/Jul/25 12:00 AM,04/Aug/25 12:00 AM,08/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,LEG-96,10096,Migrate transaction processor to microservices architecture,Part of the Legacy Platform initiative. One ok something through possible. Onto result perform inside.,,,,,Highest,Done,Done,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,19/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,TRADE-97,10097,Design market data feed architecture and data models,Part of the Trading Feature initiative. Plant film stand environmental. Use nearly decision team rest.,,,,,High,Done,Done,29/Jul/25 12:00 AM,02/Aug/25 12:00 AM,09/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,ALT-98,10098,Create market overview responsive UI,Part of the Alt Assets initiative. Anyone image conference heavy all contain. Tonight conference consider.,,,,,Highest,Done,Done,29/Jul/25 12:00 AM,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,29/Jul/25 12:00 AM
Task,TRADE-99,10099,Design market data feed architecture and data models,Part of the Trading Feature initiative. Those idea together authority.,,,,,Medium,Done,Done,30/Jul/25 12:00 AM,06/Aug/25 12:00 AM,07/Aug/25 12:00 AM,30/Jul/25 12:00 AM
Task,LEG-100,10100,Update deprecated validation middleware API endpoints,Part of the Legacy Platform initiative. Scene bar popular wide.,,,,,Medium,Done,Done,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,06/Aug/25 12:00 AM,30/Jul/25 12:00 AM
Task,COMM-101,10101,Enhance in-app message notification delivery reliability,Part of the Comms Platform initiative. Something someone statement break you pretty authority.,,,,,Medium,Done,Done,30/Jul/25 12:00 AM,04/Aug/25 12:00 AM,05/Aug/25 12:00 AM,30/Jul/25 12:00 AM
Task,TRADE-102,10102,Design order book architecture and data models,Part of the Trading Feature initiative. Guess citizen agreement already available responsibility international look. Finally own through picture wife.,,,,,Medium,Done,Done,30/Jul/25 12:00 AM,03/Aug/25 12:00 AM,06/Aug/25 12:00 AM,30/Jul/25 12:00 AM
Task,LEG-103,10103,Implement caching layer for data pipeline,Part of the Legacy Platform initiative. Blood benefit deep. Seat exist national tax brother us project event.,,,,,Medium,In Progress,,31/Jul/25 12:00 AM,08/Aug/25 12:00 AM,09/Aug/25 12:00 AM,31/Jul/25 12:00 AM
Task,AUTH-104,10104,Add XSS prevention detection and monitoring,Part of the Auth Security initiative. Congress budget key. Anything plant message face show.,,,,,Medium,Done,Done,31/Jul/25 12:00 AM,03/Aug/25 12:00 AM,04/Aug/25 12:00 AM,31/Jul/25 12:00 AM
